query_name,ewg_ingredient_id,inci_name,ewg_hazard_score,ewg_hazard_label,ewg_concerns_raw,concern_cancer,concern_developmental,concern_allergy,concern_endocrine,concern_organ_tox,concern_irritation,concern_restricted,concern_contamination,data_availability,function_tags,also_known_as,description,ewg_verified,source
ethanol,,ethanol,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
isopropyl alcohol,,isopropyl alcohol,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
benzyl alcohol,,benzyl alcohol,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
sodium lauryl sulfate,,sodium lauryl sulfate,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
sodium laureth sulfate,,sodium laureth sulfate,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
ammonium lauryl sulfate,,ammonium lauryl sulfate,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
methylisothiazolinone,,methylisothiazolinone,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
methylchloroisothiazolinone,,methylchloroisothiazolinone,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
dmdm hydantoin,,dmdm hydantoin,,not_found,,0,0,0,0,0,0,0,0,,,,,0,ewg_skindeep
formaldehyde,formaldehyde,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
propylparaben,propylparaben,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
butylparaben,butylparaben,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
linalool,linalool,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
limonene,limonene,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
geraniol,geraniol,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
citral,citral,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
eugenol,eugenol,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
isoeugenol,isoeugenol,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
cinnamal,cinnamal,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
benzyl benzoate,benzyl benzoate,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
menthol,menthol,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
camphor,camphor,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
coconut oil,coconut oil,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
isopropyl myristate,isopropyl myristate,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
isopropyl palmitate,isopropyl palmitate,,not_found,,0,0,0,0,0,0,0,0,,,,ewg_not_found
